Real	Counterfactual
3	3
3	3
24	18
31	25
81	81
35	29
48	69
87	106
99	81
139	141
4	4
13	13
21	20
46	46
28	44
89	79
77	99
91	62
79	69
135	151
2	2
9	15
39	39
16	16
26	24
52	52
29	60
82	82
33	33
134	119
6	6
8	8
13	13
10	10
67	60
63	71
65	95
131	111
102	86
95	104
6	6
14	14
14	14
18	18
34	24
32	23
33	41
51	54
42	42
63	66
2	2
36	36
19	19
21	18
23	25
26	26
51	63
40	40
147	151
144	128
2	2
10	10
11	18
45	45
16	14
20	20
31	31
83	61
128	128
191	191
43	43
23	23
22	24
47	48
42	41
114	114
60	43
72	54
109	109
155	151
1	1
2	2
2	2
5	6
10	10
13	13
39	31
40	40
79	73
210	202
21	21
18	23
46	42
49	46
24	50
57	55
40	39
45	45
147	150
267	254
7	7
18	21
107	107
61	60
55	54
85	68
164	144
123	123
144	131
259	365
10	12
30	29
41	30
32	32
65	65
126	109
62	62
88	94
120	181
288	249
6	6
14	14
23	18
36	36
35	35
32	26
31	41
43	55
63	61
201	218
0	0
6	6
41	45
94	94
35	43
72	88
72	97
76	85
129	100
580	585
3	5
11	20
19	28
32	24
38	37
108	87
93	120
163	191
140	145
260	341
15	15
16	20
19	28
81	81
39	50
47	47
59	46
67	57
105	89
144	106
1	1
5	5
6	6
14	14
62	61
83	68
52	54
102	80
183	192
195	189
4	4
25	25
21	36
38	36
59	53
51	55
42	42
48	47
150	174
228	227
10	10
16	28
38	41
44	44
56	56
57	50
85	85
156	123
283	287
364	348
1	1
12	12
32	32
28	32
45	78
90	90
81	81
62	60
114	124
122	107
12	12
10	10
9	9
35	28
68	71
49	48
36	34
53	61
80	83
176	158
1	1
1	1
5	5
12	18
40	40
31	31
26	26
24	24
38	32
149	157
0	0
6	6
4	4
16	16
33	33
21	30
30	21
160	162
109	100
127	140
6	6
5	5
9	9
27	27
30	56
58	58
44	54
57	57
67	67
144	117
10	10
12	12
30	30
17	17
27	27
29	29
62	63
179	170
266	287
569	497
2	2
7	7
12	11
16	11
96	96
24	24
37	37
44	37
69	69
223	224
8	8
10	10
35	48
26	26
99	106
82	127
108	94
146	210
296	233
363	364
5	5
11	7
6	6
15	15
78	78
27	34
50	46
