Real	Counterfactual
13	13
11	11
22	17
51	41
44	44
35	35
70	68
119	115
122	85
234	191
1	1
7	7
9	9
17	17
55	55
26	25
80	80
79	63
261	332
263	274
21	21
10	10
23	23
49	49
32	40
40	28
76	76
76	76
72	97
108	109
2	2
11	11
6	8
22	33
23	16
79	79
40	40
31	31
37	47
61	61
18	17
48	48
64	67
69	69
108	87
75	81
79	79
143	143
116	116
238	137
7	7
11	9
25	32
106	106
41	66
31	32
67	53
99	85
147	136
218	218
2	2
12	12
16	15
30	29
33	37
41	41
38	38
75	81
93	100
113	104
0	0
16	16
17	16
21	21
30	56
32	58
100	91
162	162
127	152
117	128
0	0
6	5
49	49
19	19
45	39
50	51
53	30
44	30
41	73
114	94
6	6
16	16
18	18
21	25
28	32
27	27
50	50
60	49
89	104
160	171
40	40
18	18
33	33
31	31
66	90
91	120
92	100
107	201
102	102
143	148
10	10
2	2
17	19
30	30
17	27
46	69
51	95
50	100
97	102
90	97
2	2
5	9
10	10
25	25
19	30
43	48
81	77
98	103
184	187
156	138
1	1
17	14
41	29
38	38
168	191
93	134
85	88
136	120
185	184
119	125
0	0
6	6
5	5
30	30
33	38
36	32
83	82
64	51
114	114
346	316
0	0
3	3
12	12
74	63
42	29
40	39
55	55
81	102
101	106
185	169
0	0
9	9
11	11
12	12
13	15
36	30
64	64
64	56
133	161
182	207
0	0
8	8
25	25
12	14
22	30
59	59
44	47
47	68
127	127
85	82
13	9
15	16
19	17
38	38
56	56
43	43
89	89
77	60
95	86
103	110
4	4
7	7
32	32
17	17
19	26
25	24
20	20
75	75
106	107
98	95
0	0
3	3
29	29
15	11
24	21
35	41
57	57
70	65
185	158
201	199
5	8
15	12
14	14
27	26
36	35
37	45
81	71
51	69
146	144
208	217
3	3
18	33
18	19
81	91
64	89
101	97
134	114
118	133
448	448
386	544
0	0
6	6
15	15
17	13
31	31
25	25
25	25
53	57
63	68
198	281
18	18
33	34
25	27
75	75
63	64
56	56
44	79
70	89
94	94
97	82
6	6
14	19
35	33
37	37
23	21
44	47
46	43
54	48
107	84
273	250
4	4
8	8
14	18
25	28
53	42
36	36
285	285
73	75
58	78
82	82
1	1
5	5
15	15
34	46
30	28
32	33
31	66
44	56
80	76
90	70
0	0
9	9
14	14
20	20
12	13
26	23
31	22
36	40
82	88
110	110
2	2
4	4
4	4
13	14
14	12
94	74
83	83
65	99
197	221
169	186
3	3
11	11
14	14
27	32
56	55
52	70
72	68
50	49
93	103
105	96
3	3
26	18
49	49
40	40
47	41
56	59
67	69
118	121
289	289
209	162
4	4
4	4
5	5
12	12
18	18
25	37
33	28
32	32
49	49
65	60
3	3
7	7
12	9
21	17
17	16
25	25
34	35
80	80
90	83
166	166
4	4
16	16
26	26
29	29
40	38
56	51
99	99
46	52
112	74
578	408
2	2
7	7
7	7
6	11
25	25
27	43
27	27
114	122
87	89
143	179
1	1
14	14
21	31
45	45
61	61
51	54
74	66
88	91
146	154
286	288
11	11
14	14
18	18
33	33
45	33
37	44
53	51
49	51
152	152
97	98
3	3
3	3
15	15
5	5
34	34
48	48
62	64
37	37
52	106
85	86
0	0
3	3
6	6
11	12
12	19
26	26
25	37
42	52
63	61
77	77
6	6
5	5
13	13
25	28
27	30
47	44
93	93
70	136
120	142
193	204
8	8
27	27
12	12
19	28
22	30
21	21
41	29
84	84
121	96
146	105
0	0
7	12
22	26
18	21
39	39
107	96
35	35
50	55
51	78
81	84
1	1
3	3
5	5
22	15
23	23
30	34
29	43
46	53
143	105
340	294
11	11
25	19
27	27
45	50
93	90
67	67
46	46
86	83
278	234
236	193
4	4
5	9
29	30
52	52
111	91
46	49
108	119
148	123
69	69
94	91
3	3
4	4
10	10
10	10
12	18
25	20
69	63
83	87
106	154
236	228
13	13
22	22
12	12
28	27
33	33
51	82
52	52
43	43
243	259
237	303
12	12
11	12
26	22
62	66
46	45
52	52
111	111
189	172
173	222
260	202
17	16
22	28
44	44
36	32
37	41
38	40
51	61
91	87
136	150
100	100
4	4
15	15
10	10
20	26
30	30
29	29
40	39
54	59
93	90
81	87
11	13
10	10
26	25
41	41
96	100
72	56
81	76
66	82
131	137
230	226
8	13
37	37
31	31
24	40
35	35
66	66
56	56
45	90
177	179
274	330
9	9
6	6
21	21
7	12
22	22
20	20
23	17
37	37
31	45
258	265
3	3
9	9
23	23
30	30
33	35
58	64
41	67
64	64
90	90
136	101
5	5
12	12
15	12
18	18
60	48
80	86
176	160
101	119
289	293
302	386
1	1
2	2
4	4
31	31
105	108
60	55
53	55
53	56
85	97
197	177
0	0
4	4
10	10
6	6
11	11
22	21
53	55
68	69
59	74
79	91
4	4
13	13
38	38
22	22
24	29
21	29
40	36
30	32
50	53
163	163
3	3
3	3
11	11
8	8
53	53
58	76
79	79
71	82
77	89
118	115
6	6
18	18
43	46
50	54
77	82
57	45
45	52
87	82
96	96
224	227
5	5
6	6
2	2
5	5
16	19
38	34
60	86
72	85
187	206
272	215
4	4
10	11
11	11
17	17
22	25
31	31
53	53
48	47
214	192
287	248
7	7
26	26
21	21
33	21
46	46
61	61
87	53
69	92
176	149
309	309
24	22
38	37
69	60
39	41
47	47
67	58
106	78
177	140
171	182
231	282
0	0
0	0
1	1
7	7
11	11
12	12
81	66
67	111
76	76
73	75
1	1
3	3
25	25
28	28
17	31
26	26
49	51
108	112
116	124
159	172
0	0
7	8
8	8
7	7
49	46
40	40
68	68
67	48
61	75
138	129
7	7
56	56
15	25
36	49
51	63
126	83
159	140
147	128
155	158
392	392
4	4
16	16
10	10
14	14
30	24
20	20
35	35
40	40
48	48
200	167
0	0
5	5
16	16
15	15
13	13
21	24
30	30
45	45
270	264
259	214
2	2
6	6
9	9
23	20
29	34
45	35
40	39
49	49
48	48
77	78
8	11
8	8
23	23
14	29
44	44
36	43
39	55
36	36
77	85
150	154
3	5
13	16
23	22
44	32
67	67
45	44
47	44
108	112
180	151
279	279
1	1
4	4
34	36
38	42
39	45
54	43
41	72
52	79
65	116
111	109
2	2
5	5
14	21
24	16
27	27
39	45
53	50
68	68
76	76
112	101
1	1
6	6
14	14
24	24
20	20
48	45
28	31
81	69
62	40
85	76
9	9
14	14
33	33
37	40
47	40
86	89
78	64
108	113
151	143
266	247
1	1
39	39
42	41
67	50
66	63
154	132
206	234
104	87
109	106
141	205
1	1
11	11
9	7
8	8
16	16
23	25
34	34
41	28
67	54
31	31
7	7
11	8
16	16
26	29
89	89
73	77
46	40
83	68
196	217
226	183
1	1
6	6
10	13
26	34
41	33
27	49
105	105
124	106
177	196
149	121
4	4
10	8
16	16
34	27
57	44
58	58
101	100
81	88
105	106
175	155
9	9
9	15
37	37
14	12
13	13
17	17
54	55
97	128
166	189
190	199
9	9
16	17
44	48
37	31
38	33
55	53
93	90
79	78
66	66
146	134
8	14
20	16
24	21
20	20
30	36
65	65
25	35
40	47
146	134
130	106
